epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1749,0.8429,0.5152,1.0,0.4286,0.1939,0.922,0.85,0.9074,0.803,0.2892,0.8576,0.6471,0.9375,0.3889
1,0.1799,0.8086,0.5455,0.8333,0.4815,0.1902,0.922,0.8417,0.8519,0.8333,0.2692,0.9271,0.7353,0.9444,0.5
2,0.1454,0.8103,0.5758,0.75,0.5517,0.1893,0.9214,0.8667,0.8519,0.8788,0.286,0.8561,0.6176,1.0,0.3158
3,0.1569,0.9,0.6667,0.8,0.6429,0.1914,0.9212,0.8417,0.7963,0.8788,0.2791,0.8786,0.7059,0.9286,0.55
4,0.1671,0.9066,0.7273,0.8571,0.6923,0.1924,0.9186,0.8417,0.7778,0.8939,0.2524,0.9583,0.7941,1.0,0.6818
5,0.1725,0.8681,0.7879,0.7143,0.8077,0.1901,0.9189,0.85,0.8148,0.8788,0.303,0.7743,0.6765,0.8889,0.4375
6,0.1559,0.9321,0.7576,0.8333,0.7407,0.1901,0.9189,0.85,0.8148,0.8788,0.2805,0.8893,0.6765,1.0,0.5217
7,0.1855,0.7222,0.6061,0.8333,0.5556,0.1907,0.9181,0.85,0.8148,0.8788,0.2619,0.9214,0.7941,0.9286,0.7
8,0.2105,0.7546,0.6667,0.7778,0.625,0.1895,0.9189,0.8667,0.8519,0.8788,0.3086,0.7509,0.5294,0.8667,0.2632
9,0.1682,0.8642,0.7273,1.0,0.6667,0.1893,0.9192,0.8667,0.8519,0.8788,0.3097,0.7729,0.5294,0.9231,0.2857
10,0.1271,0.9778,0.6667,1.0,0.6333,0.19,0.9186,0.85,0.8148,0.8788,0.2876,0.8125,0.6765,0.75,0.6111
11,0.1893,0.83,0.7273,1.0,0.64,0.1901,0.9189,0.85,0.8148,0.8788,0.2825,0.8645,0.6471,0.9231,0.4762
12,0.1948,0.7418,0.6667,0.5714,0.6923,0.1899,0.9198,0.85,0.8148,0.8788,0.312,0.7357,0.6176,0.7857,0.5
13,0.1654,0.92,0.7576,1.0,0.68,0.1897,0.9192,0.8583,0.8333,0.8788,0.2849,0.8571,0.6176,1.0,0.35
14,0.1404,0.8793,0.7273,0.75,0.7241,0.1905,0.9192,0.85,0.8148,0.8788,0.2877,0.8175,0.6471,0.8,0.5263
15,0.1598,0.8956,0.7576,1.0,0.6923,0.1905,0.9189,0.85,0.8148,0.8788,0.2964,0.7751,0.6765,0.8824,0.4706
16,0.1734,0.9066,0.8485,0.7143,0.8846,0.1905,0.9186,0.85,0.8148,0.8788,0.2822,0.8571,0.5882,0.8571,0.4
17,0.1687,0.89,0.7273,1.0,0.64,0.1904,0.9186,0.85,0.8148,0.8788,0.2675,0.8854,0.7647,0.875,0.6667
18,0.1834,0.7912,0.6364,1.0,0.5385,0.1905,0.9186,0.85,0.8148,0.8788,0.2968,0.7847,0.6176,0.8125,0.4444
19,0.1979,0.8056,0.6061,0.7778,0.5417,0.1903,0.9186,0.85,0.8148,0.8788,0.283,0.7924,0.6176,0.7647,0.4706
