epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2195,0.725,0.6061,0.52,0.875,0.1018,0.9558,0.9083,0.9158,0.88,0.1702,0.8929,0.7941,0.7857,0.8333
1,0.2158,0.8565,0.7576,0.7917,0.6667,0.1006,0.9558,0.8917,0.8947,0.88,0.1539,0.8667,0.7647,0.7667,0.75
2,0.1962,0.8889,0.697,0.5833,1.0,0.1005,0.9558,0.875,0.8737,0.88,0.1767,0.9226,0.7941,0.75,1.0
3,0.2041,0.8426,0.5758,0.4167,1.0,0.1004,0.9554,0.8833,0.8842,0.88,0.1672,0.9034,0.6471,0.6207,0.8
4,0.1832,0.8333,0.6667,0.5926,1.0,0.1001,0.9549,0.8833,0.8842,0.88,0.1942,0.9644,0.8235,0.76,1.0
5,0.1755,0.9286,0.7273,0.6538,1.0,0.1003,0.9533,0.8833,0.8842,0.88,0.1712,0.9167,0.7941,0.7857,0.8333
6,0.2136,0.8783,0.8485,0.8261,0.9,0.0997,0.9528,0.8833,0.8842,0.88,0.2054,0.8622,0.7059,0.64,0.8889
7,0.1561,0.8667,0.5758,0.5333,1.0,0.0998,0.9528,0.8833,0.8842,0.88,0.21,0.8833,0.7941,0.8333,0.7
8,0.1708,0.6983,0.6667,0.6897,0.5,0.1021,0.9533,0.9083,0.9158,0.88,0.1604,0.8966,0.8824,0.9655,0.4
9,0.2145,0.8241,0.6667,0.6667,0.6667,0.1006,0.9528,0.9083,0.9158,0.88,0.1711,0.8207,0.7941,0.8276,0.6
10,0.1973,0.5857,0.6061,0.6786,0.2,0.1009,0.9524,0.9,0.9053,0.88,0.1438,0.9032,0.8235,0.8065,1.0
11,0.1378,0.8889,0.8182,0.8333,0.6667,0.1048,0.9516,0.9,0.9158,0.84,0.1953,0.873,0.7941,0.8889,0.4286
12,0.1797,0.8395,0.6667,0.6667,0.6667,0.1049,0.9516,0.9,0.9158,0.84,0.2123,0.8978,0.8235,0.96,0.4444
13,0.1828,0.8272,0.8485,0.8889,0.6667,0.1049,0.9512,0.9,0.9158,0.84,0.1881,0.8783,0.8529,0.963,0.4286
14,0.1955,0.9306,0.8182,0.7917,0.8889,0.1041,0.9516,0.9,0.9158,0.84,0.1806,0.8519,0.8235,0.9259,0.4286
15,0.1926,0.845,0.8182,0.8,0.875,0.1036,0.9516,0.9083,0.9158,0.88,0.1792,0.9471,0.8824,1.0,0.4286
16,0.1463,0.8966,0.7879,0.7931,0.75,0.104,0.9516,0.9083,0.9158,0.88,0.1559,0.9405,0.9118,1.0,0.5
17,0.1784,0.8272,0.7879,0.8148,0.6667,0.1035,0.9516,0.9083,0.9158,0.88,0.1972,0.9111,0.8824,1.0,0.5556
18,0.1239,0.9667,0.8485,0.8333,1.0,0.1042,0.9503,0.9,0.9158,0.84,0.2397,0.7917,0.7647,0.9167,0.4
19,0.1686,0.9506,0.8788,0.8889,0.8333,0.1043,0.9503,0.9,0.9158,0.84,0.1561,0.869,0.9118,0.9655,0.6
