epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2314,0.745,0.7879,0.96,0.25,0.1488,0.8804,0.8333,0.8632,0.72,0.1594,0.9405,0.8824,0.9643,0.5
1,0.2256,0.8102,0.7879,0.875,0.5556,0.1448,0.8817,0.8167,0.8316,0.76,0.13,0.925,0.8529,0.9,0.5
2,0.2036,0.8472,0.697,0.75,0.5556,0.1446,0.8838,0.7833,0.7684,0.84,0.1899,0.744,0.8235,0.8929,0.5
3,0.2067,0.7963,0.6667,0.5833,0.8889,0.1452,0.8838,0.7833,0.7684,0.84,0.1646,0.8414,0.7647,0.7586,0.8
4,0.1908,0.7037,0.6364,0.5926,0.8333,0.1453,0.8838,0.7833,0.7684,0.84,0.2174,0.7644,0.7647,0.8,0.6667
5,0.1618,0.9615,0.9394,0.9231,1.0,0.1454,0.8834,0.7833,0.7684,0.84,0.1857,0.7857,0.7647,0.8571,0.3333
6,0.2095,0.8348,0.7273,0.6522,0.9,0.1471,0.8829,0.775,0.7474,0.88,0.1981,0.8356,0.7941,0.76,0.8889
7,0.145,0.8556,0.7879,0.7667,1.0,0.1457,0.8808,0.7833,0.7684,0.84,0.186,0.9417,0.7647,0.7083,0.9
8,0.1514,0.7931,0.6667,0.6897,0.5,0.1451,0.8796,0.7917,0.8,0.76,0.1572,0.8552,0.8529,0.8966,0.6
9,0.217,0.8056,0.697,0.7917,0.4444,0.1451,0.8796,0.8,0.8,0.8,0.2023,0.6483,0.7353,0.8276,0.2
10,0.1568,0.8929,0.8182,0.8214,0.8,0.1451,0.8796,0.8083,0.8,0.84,0.1544,0.6237,0.7353,0.7742,0.3333
11,0.1253,0.9333,0.7879,0.8,0.6667,0.1453,0.8792,0.7917,0.8,0.76,0.1848,0.873,0.8529,0.9259,0.5714
12,0.2266,0.4198,0.4848,0.5185,0.3333,0.1452,0.8792,0.7917,0.8,0.76,0.2049,0.8933,0.8824,0.96,0.6667
13,0.1856,0.7099,0.6364,0.6296,0.6667,0.1452,0.8792,0.7917,0.8,0.76,0.2203,0.709,0.7941,0.8519,0.5714
14,0.1856,0.9444,0.8485,0.8333,0.8889,0.1452,0.8792,0.8083,0.8,0.84,0.1702,0.8836,0.8235,0.8519,0.7143
15,0.1898,0.845,0.7879,0.8,0.75,0.1452,0.8792,0.8083,0.8,0.84,0.1828,0.8783,0.8529,0.9259,0.5714
16,0.1783,0.5776,0.6364,0.6552,0.5,0.1452,0.8792,0.8083,0.8,0.84,0.164,0.8512,0.9118,0.9643,0.6667
17,0.1728,0.8642,0.7576,0.8519,0.3333,0.1452,0.8792,0.8083,0.8,0.84,0.2288,0.7822,0.8824,0.96,0.6667
18,0.1161,0.9333,0.9394,0.9667,0.6667,0.1452,0.8792,0.8083,0.8,0.84,0.2635,0.7208,0.7941,0.875,0.6
19,0.173,0.8148,0.7879,0.8148,0.6667,0.1452,0.8792,0.8083,0.8,0.84,0.1488,0.9034,0.8235,0.8621,0.6
