epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2155,0.7623,0.7778,0.9722,0.0,0.113,0.9474,0.9083,0.9368,0.8,0.1603,0.9507,0.913,0.9737,0.625
1,0.2284,0.7807,0.7556,0.9118,0.2727,0.1039,0.9478,0.9083,0.9263,0.84,0.177,0.8487,0.8043,0.8421,0.625
2,0.2154,0.6857,0.7333,0.8,0.5,0.0998,0.9486,0.9167,0.9263,0.88,0.1717,0.8608,0.8043,0.8205,0.7143
3,0.1968,0.8543,0.7556,0.7429,0.8,0.0988,0.9491,0.9167,0.9263,0.88,0.1855,0.8191,0.7174,0.6842,0.875
4,0.1805,0.7973,0.7778,0.7568,0.875,0.0992,0.9491,0.9083,0.9263,0.84,0.2073,0.8309,0.7826,0.7647,0.8333
5,0.1926,0.6892,0.7556,0.8108,0.5,0.0984,0.9499,0.9167,0.9263,0.88,0.1915,0.7838,0.7391,0.7568,0.6667
6,0.1904,0.8314,0.6889,0.6857,0.7,0.0973,0.9507,0.9167,0.9263,0.88,0.221,0.7304,0.6957,0.7059,0.6667
7,0.173,0.7857,0.7333,0.7895,0.4286,0.1004,0.9503,0.9083,0.9263,0.84,0.2309,0.7529,0.7609,0.7879,0.6923
8,0.1674,0.7308,0.8222,0.8462,0.6667,0.1026,0.9507,0.9083,0.9263,0.84,0.1744,0.9099,0.8261,0.8378,0.7778
9,0.2048,0.8864,0.8222,0.8788,0.6667,0.0971,0.9507,0.9167,0.9263,0.88,0.1599,0.8974,0.7609,0.7436,0.8571
10,0.2177,0.5556,0.6222,0.6944,0.3333,0.0962,0.9507,0.9083,0.9158,0.88,0.1677,0.8125,0.6957,0.675,0.8333
11,0.1546,0.8,0.7111,0.725,0.6,0.0982,0.9516,0.9083,0.9263,0.84,0.1946,0.7598,0.7391,0.7568,0.6667
12,0.1852,0.7568,0.6889,0.7027,0.625,0.0986,0.9516,0.9083,0.9263,0.84,0.2062,0.8946,0.8261,0.8824,0.6667
13,0.1876,0.7365,0.6889,0.7568,0.375,0.0987,0.9533,0.9083,0.9263,0.84,0.188,0.7566,0.7391,0.7895,0.5
14,0.2191,0.8558,0.7778,0.8125,0.6923,0.0944,0.9533,0.9167,0.9263,0.88,0.1955,0.8139,0.7391,0.75,0.7
15,0.2142,0.8317,0.7333,0.7188,0.7692,0.0931,0.9524,0.9,0.9053,0.88,0.1911,0.8438,0.5652,0.4595,1.0
16,0.167,0.7991,0.6889,0.641,1.0,0.0929,0.9537,0.9167,0.9263,0.88,0.1712,0.7912,0.7174,0.7436,0.5714
17,0.193,0.7829,0.6889,0.6857,0.7,0.0933,0.9537,0.9167,0.9263,0.88,0.2054,0.7974,0.6957,0.6857,0.7273
18,0.1419,0.855,0.8667,0.875,0.8,0.0967,0.9541,0.9083,0.9263,0.84,0.2006,0.8234,0.7391,0.7429,0.7273
19,0.1743,0.858,0.8889,0.9167,0.7778,0.0972,0.9541,0.9083,0.9263,0.84,0.1657,0.8608,0.8043,0.7949,0.8571
20,0.1731,0.6667,0.8,0.8718,0.3333,0.0978,0.9549,0.9083,0.9263,0.84,0.1886,0.9191,0.8043,0.7941,0.8333
21,0.2133,0.6714,0.6889,0.7714,0.4,0.0947,0.9554,0.9083,0.9263,0.84,0.1941,0.8623,0.7391,0.7429,0.7273
22,0.1674,0.7308,0.6667,0.641,0.8333,0.0965,0.9562,0.9083,0.9263,0.84,0.165,0.9611,0.8696,0.8333,1.0
23,0.1487,0.381,0.7556,0.8095,0.0,0.1,0.9562,0.9083,0.9263,0.84,0.1891,0.9091,0.8696,0.8857,0.8182
24,0.144,0.9699,0.8889,0.9211,0.7143,0.1002,0.9562,0.9,0.9263,0.8,0.1784,0.8468,0.8696,0.9459,0.5556
25,0.2015,0.8,0.7333,0.8286,0.4,0.0995,0.9566,0.9083,0.9263,0.84,0.2119,0.8104,0.7609,0.8,0.6364
26,0.2042,0.846,0.7556,0.8485,0.5,0.096,0.9562,0.9083,0.9263,0.84,0.1969,0.8922,0.8478,0.8529,0.8333
27,0.222,0.62,0.6444,0.7429,0.3,0.0944,0.9562,0.9083,0.9263,0.84,0.1577,0.9121,0.7174,0.6923,0.8571
28,0.1909,0.869,0.7333,0.7059,0.8182,0.0938,0.9566,0.9083,0.9263,0.84,0.2132,0.8322,0.7174,0.7273,0.6923
29,0.2288,0.7926,0.7778,0.8065,0.7143,0.0932,0.9566,0.9167,0.9263,0.88,0.1768,0.8618,0.7609,0.7632,0.75
30,0.1592,0.735,0.6889,0.675,0.8,0.0936,0.9566,0.9083,0.9263,0.84,0.1865,0.8639,0.7609,0.75,0.8
31,0.1845,0.8488,0.7778,0.8056,0.6667,0.0936,0.9562,0.9083,0.9263,0.84,0.1839,0.7632,0.6304,0.6316,0.625
32,0.1818,0.8025,0.8444,0.8889,0.6667,0.0935,0.9562,0.9083,0.9263,0.84,0.2031,0.7139,0.6087,0.6389,0.5
33,0.1855,0.8771,0.7556,0.7143,0.9,0.0935,0.9562,0.9083,0.9263,0.84,0.1849,0.8108,0.6957,0.7027,0.6667
34,0.1907,0.6959,0.6667,0.6757,0.625,0.0936,0.9562,0.9083,0.9263,0.84,0.2061,0.8531,0.7609,0.7576,0.7692
35,0.1684,0.8008,0.7556,0.7368,0.8571,0.0936,0.9562,0.9083,0.9263,0.84,0.1794,0.8679,0.7826,0.7838,0.7778
36,0.1969,0.5414,0.6667,0.7105,0.4286,0.0937,0.9562,0.9083,0.9263,0.84,0.1755,0.8289,0.7609,0.7895,0.625
37,0.1819,0.7736,0.7556,0.8108,0.5,0.0937,0.9562,0.9083,0.9263,0.84,0.1668,0.9309,0.8043,0.7632,1.0
38,0.2105,0.7257,0.7333,0.8286,0.4,0.0937,0.9562,0.9083,0.9263,0.84,0.1486,0.878,0.7609,0.7561,0.8
39,0.1731,0.8951,0.7111,0.6667,0.8889,0.0936,0.9562,0.9083,0.9263,0.84,0.1785,0.8889,0.8261,0.8333,0.8
