epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.299,0.6602,0.6106,0.8056,0.5195,0.2649,0.8283,0.75,0.8654,0.6618,0.3288,0.6484,0.5439,0.7755,0.3692
1,0.2891,0.7091,0.6372,0.7368,0.5867,0.2609,0.8264,0.7583,0.8077,0.7206,0.3269,0.6446,0.5965,0.6939,0.5231
2,0.2772,0.686,0.6991,0.4375,0.8025,0.2635,0.8249,0.7333,0.6731,0.7794,0.3219,0.6749,0.6754,0.4792,0.8182
3,0.2705,0.7599,0.708,0.4118,0.8354,0.2619,0.8255,0.75,0.7308,0.7647,0.3261,0.6628,0.6228,0.52,0.7031
4,0.2947,0.7316,0.6726,0.5909,0.7246,0.26,0.8255,0.7667,0.8077,0.7353,0.3261,0.6595,0.5965,0.7451,0.4762
5,0.294,0.6805,0.6106,0.65,0.589,0.2616,0.8227,0.725,0.6923,0.75,0.3215,0.6802,0.6579,0.625,0.6818
6,0.2786,0.7613,0.7168,0.6667,0.7432,0.2605,0.821,0.7417,0.7308,0.75,0.3174,0.686,0.6404,0.7255,0.5714
7,0.3003,0.7156,0.5752,0.74,0.4444,0.26,0.8218,0.7667,0.8077,0.7353,0.3217,0.6812,0.5789,0.7708,0.4394
8,0.2916,0.7157,0.646,0.8039,0.5161,0.2642,0.8238,0.75,0.8846,0.6471,0.317,0.7194,0.5614,0.88,0.3125
9,0.2988,0.7119,0.5841,0.875,0.3692,0.2619,0.8224,0.75,0.8269,0.6912,0.32,0.7087,0.5789,0.8462,0.3548
10,0.2781,0.7539,0.6726,0.8095,0.5915,0.2609,0.8204,0.75,0.7885,0.7206,0.3211,0.6897,0.5789,0.82,0.3906
11,0.294,0.7099,0.6018,0.7826,0.4776,0.2609,0.8201,0.75,0.7885,0.7206,0.3208,0.7022,0.5702,0.84,0.3594
12,0.2796,0.7958,0.6814,0.75,0.6308,0.2612,0.8201,0.7583,0.8077,0.7206,0.3226,0.6957,0.5526,0.8542,0.3333
13,0.3012,0.6901,0.6195,0.75,0.5231,0.2612,0.8201,0.7583,0.8077,0.7206,0.3178,0.7125,0.5877,0.86,0.375
14,0.2553,0.8474,0.7522,0.9211,0.6667,0.2611,0.8187,0.75,0.7692,0.7353,0.3175,0.7091,0.5965,0.84,0.4062
15,0.268,0.7863,0.7168,0.7838,0.6842,0.2621,0.8176,0.7167,0.6923,0.7353,0.3188,0.6859,0.5877,0.7708,0.4545
16,0.2732,0.7841,0.6726,0.6977,0.6571,0.2625,0.8173,0.7167,0.6923,0.7353,0.3186,0.6884,0.6053,0.78,0.4688
17,0.2785,0.7409,0.6195,0.6744,0.5857,0.2624,0.817,0.7167,0.6923,0.7353,0.322,0.6816,0.5877,0.8039,0.4127
18,0.2839,0.7428,0.6195,0.8095,0.507,0.2625,0.8173,0.7167,0.6923,0.7353,0.3196,0.695,0.6053,0.82,0.4375
19,0.2904,0.7243,0.6549,0.7805,0.5833,0.2626,0.8173,0.7167,0.6923,0.7353,0.3139,0.6957,0.5965,0.7917,0.4545
