epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.305,0.5981,0.6903,0.0556,0.987,0.2931,0.765,0.6917,0.8654,0.5588,0.3321,0.6283,0.5877,0.2653,0.8308
1,0.3004,0.674,0.6726,0.4211,0.8,0.3049,0.7633,0.6833,0.8846,0.5294,0.333,0.5953,0.5526,0.4082,0.6615
2,0.2945,0.5575,0.646,0.125,0.8519,0.2949,0.7636,0.6917,0.8654,0.5588,0.3334,0.6029,0.6053,0.3333,0.803
3,0.3066,0.538,0.646,0.2647,0.8101,0.3024,0.7633,0.6833,0.8846,0.5294,0.3331,0.6106,0.5614,0.42,0.6719
4,0.3201,0.5929,0.6018,0.4773,0.6812,0.3359,0.765,0.6167,0.9615,0.3529,0.3312,0.6138,0.5702,0.6667,0.4921
5,0.3145,0.5534,0.4513,0.8,0.2603,0.3197,0.765,0.6417,0.9231,0.4265,0.3274,0.6345,0.5614,0.5625,0.5606
6,0.3037,0.6393,0.6283,0.5128,0.6892,0.3185,0.7647,0.6417,0.9231,0.4265,0.3297,0.6318,0.5702,0.5686,0.5714
7,0.3065,0.7673,0.6372,0.8,0.5079,0.3328,0.763,0.625,0.9615,0.3676,0.3277,0.6443,0.614,0.75,0.5152
8,0.3288,0.5895,0.6106,0.7451,0.5,0.3517,0.7602,0.575,0.9615,0.2794,0.3287,0.6503,0.5526,0.86,0.3125
9,0.3138,0.6567,0.5487,0.8958,0.2923,0.3575,0.7607,0.5833,0.9808,0.2794,0.3294,0.6582,0.5351,0.8846,0.2419
10,0.3135,0.5996,0.4602,0.881,0.2113,0.3512,0.7607,0.575,0.9615,0.2794,0.3313,0.6391,0.5351,0.88,0.2656
11,0.3162,0.6188,0.4779,0.8913,0.194,0.3518,0.7619,0.575,0.9615,0.2794,0.3315,0.6309,0.5175,0.86,0.25
12,0.3228,0.5769,0.5398,0.7708,0.3692,0.3551,0.7633,0.5833,0.9808,0.2794,0.3322,0.6357,0.5088,0.875,0.2424
13,0.3187,0.6103,0.4956,0.8542,0.2308,0.3565,0.7624,0.5833,0.9808,0.2794,0.331,0.6413,0.5351,0.88,0.2656
14,0.3089,0.6249,0.4248,0.8421,0.2133,0.3535,0.7624,0.575,0.9615,0.2794,0.3317,0.6328,0.5351,0.88,0.2656
15,0.302,0.6803,0.4779,0.8919,0.2763,0.3483,0.7639,0.575,0.9615,0.2794,0.3308,0.6392,0.5351,0.875,0.2879
16,0.3061,0.7013,0.5752,0.8837,0.3857,0.3458,0.7639,0.575,0.9615,0.2794,0.3309,0.6359,0.5614,0.88,0.3125
17,0.3135,0.603,0.5398,0.8605,0.3429,0.3457,0.7644,0.575,0.9615,0.2794,0.3319,0.625,0.5614,0.8627,0.3175
18,0.3158,0.5885,0.4956,0.8333,0.2958,0.3438,0.7641,0.575,0.9615,0.2794,0.3313,0.6316,0.5614,0.84,0.3438
19,0.3111,0.6223,0.4956,0.7317,0.3611,0.3438,0.7641,0.575,0.9615,0.2794,0.3279,0.6547,0.5526,0.8542,0.3333
20,0.309,0.5773,0.5133,0.7429,0.4103,0.3419,0.7641,0.5917,0.9615,0.3088,0.3295,0.6403,0.5614,0.82,0.3594
21,0.311,0.5717,0.4779,0.7949,0.3108,0.3408,0.7641,0.5917,0.9615,0.3088,0.3287,0.6492,0.5702,0.8235,0.3651
22,0.3061,0.6362,0.5133,0.7949,0.3649,0.3396,0.7647,0.6,0.9615,0.3235,0.3297,0.6384,0.5702,0.82,0.375
23,0.3087,0.6216,0.4336,0.725,0.274,0.3389,0.7653,0.6083,0.9615,0.3382,0.3268,0.6616,0.5702,0.8333,0.3788
24,0.3144,0.6506,0.5575,0.75,0.4154,0.3399,0.765,0.6,0.9615,0.3235,0.3308,0.6276,0.5439,0.7959,0.3538
25,0.3096,0.6082,0.5398,0.8,0.3973,0.3396,0.765,0.6,0.9615,0.3235,0.3303,0.6392,0.5439,0.8163,0.3385
26,0.3051,0.5139,0.4159,0.6875,0.3086,0.3391,0.7653,0.6083,0.9615,0.3382,0.3281,0.6472,0.5526,0.7872,0.3881
27,0.3057,0.6681,0.5575,0.8205,0.4189,0.3389,0.7653,0.6083,0.9615,0.3382,0.3293,0.6396,0.5614,0.7959,0.3846
28,0.3126,0.6271,0.5752,0.8,0.4265,0.3389,0.7653,0.6083,0.9615,0.3382,0.327,0.6619,0.5702,0.8163,0.3846
29,0.3147,0.5932,0.5487,0.875,0.3699,0.3387,0.7653,0.6083,0.9615,0.3382,0.3303,0.6291,0.5526,0.7917,0.3788
30,0.3023,0.6856,0.5398,0.75,0.4247,0.3387,0.7656,0.6083,0.9615,0.3382,0.3296,0.6422,0.5702,0.82,0.375
31,0.2955,0.745,0.6018,0.8462,0.473,0.3383,0.7656,0.6083,0.9615,0.3382,0.3296,0.6361,0.5614,0.7755,0.4
32,0.2992,0.62,0.469,0.8065,0.3415,0.3376,0.7656,0.6083,0.9615,0.3382,0.3281,0.6484,0.5702,0.7917,0.4091
33,0.3031,0.6812,0.5575,0.85,0.3973,0.3375,0.7653,0.6083,0.9615,0.3382,0.327,0.6581,0.5789,0.78,0.4219
34,0.3019,0.6425,0.4956,0.7368,0.3733,0.3373,0.7653,0.6083,0.9615,0.3382,0.3299,0.6408,0.5789,0.7843,0.4127
35,0.3124,0.6435,0.5752,0.7778,0.4412,0.3373,0.7653,0.6083,0.9615,0.3382,0.3303,0.6286,0.5526,0.7755,0.3846
36,0.3125,0.5537,0.4248,0.6579,0.3067,0.3372,0.765,0.6083,0.9615,0.3382,0.3318,0.6238,0.5526,0.78,0.375
37,0.3097,0.6594,0.5841,0.8182,0.4348,0.3373,0.765,0.6083,0.9615,0.3382,0.3314,0.6222,0.5526,0.7708,0.3939
38,0.3023,0.6983,0.5841,0.75,0.4932,0.3372,0.765,0.6083,0.9615,0.3382,0.3275,0.6586,0.5789,0.8039,0.3968
39,0.3244,0.6019,0.5752,0.74,0.4444,0.3376,0.765,0.6083,0.9615,0.3382,0.3263,0.6654,0.5789,0.8125,0.4091
