epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1911,0.7924,0.8209,0.25,0.9455,0.1748,0.9436,0.875,0.8148,0.9242,0.3073,0.8707,0.7059,0.4375,0.9444
1,0.1988,0.7735,0.7761,0.4615,0.8519,0.1707,0.9436,0.875,0.8148,0.9242,0.3124,0.8263,0.6765,0.3667,0.9211
2,0.1824,0.7776,0.806,0.3636,0.8929,0.1688,0.9436,0.8667,0.8148,0.9091,0.3124,0.8052,0.6765,0.4848,0.8571
3,0.1917,0.7636,0.791,0.3333,0.8909,0.1687,0.9433,0.8583,0.8148,0.8939,0.2968,0.8523,0.75,0.6207,0.8462
4,0.1856,0.9191,0.806,0.9286,0.7736,0.1681,0.9428,0.8583,0.8148,0.8939,0.2909,0.8771,0.7647,0.7241,0.7949
5,0.1831,0.8704,0.7463,0.7692,0.7407,0.1688,0.9411,0.8583,0.8148,0.8939,0.2889,0.8898,0.8088,0.8125,0.8056
6,0.1765,0.8485,0.8507,0.8333,0.8545,0.1706,0.9402,0.85,0.7963,0.8939,0.282,0.8991,0.8235,0.8,0.8421
7,0.1967,0.7795,0.6567,0.6667,0.6538,0.1675,0.9414,0.8417,0.8148,0.8636,0.2787,0.916,0.8088,0.8889,0.7561
8,0.193,0.9093,0.7313,0.9375,0.6667,0.169,0.9397,0.8417,0.8333,0.8485,0.2753,0.9203,0.8382,0.8857,0.7879
9,0.198,0.7756,0.6866,0.8,0.6538,0.17,0.9394,0.85,0.8519,0.8485,0.2837,0.9098,0.7647,0.9286,0.65
10,0.1836,0.5824,0.5672,0.5556,0.569,0.1733,0.9383,0.85,0.7963,0.8939,0.2847,0.8883,0.8088,0.8182,0.8
11,0.2032,0.8821,0.7463,0.9444,0.6735,0.1715,0.9369,0.8333,0.7963,0.8636,0.2904,0.8383,0.7059,0.7037,0.7073
12,0.1928,0.8019,0.6567,0.8571,0.6038,0.1703,0.9374,0.8417,0.8333,0.8485,0.2861,0.897,0.8088,0.8519,0.7805
13,0.1804,0.9244,0.6119,0.9333,0.5192,0.1704,0.9357,0.8417,0.8333,0.8485,0.2831,0.8754,0.7794,0.9,0.6842
14,0.1698,0.9379,0.6269,1.0,0.5455,0.1708,0.9349,0.8417,0.8148,0.8636,0.2734,0.9416,0.8235,0.8387,0.8108
15,0.1854,0.8923,0.6418,1.0,0.5385,0.1707,0.9352,0.85,0.8333,0.8636,0.2757,0.9314,0.8529,0.875,0.8333
16,0.1861,0.8282,0.597,0.8667,0.5192,0.1708,0.9355,0.8417,0.8333,0.8485,0.277,0.891,0.8088,0.9032,0.7297
17,0.1713,0.9299,0.7313,1.0,0.6604,0.1711,0.9346,0.85,0.8333,0.8636,0.2936,0.8529,0.7647,0.8235,0.7059
18,0.1998,0.7744,0.6119,0.8,0.5577,0.1713,0.9349,0.8417,0.8148,0.8636,0.2841,0.8889,0.8235,0.9062,0.75
19,0.1938,0.8671,0.6866,0.9412,0.6,0.1714,0.9346,0.85,0.8333,0.8636,0.2926,0.8502,0.7647,0.8788,0.6571
