epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.312,0.5343,0.4925,0.5,0.4889,0.25,0.8317,0.7583,0.8077,0.7206,0.3345,0.6026,0.5735,0.6,0.5526
1,0.2999,0.6601,0.5821,0.6957,0.5227,0.2499,0.8314,0.7583,0.8077,0.7206,0.3466,0.5385,0.5441,0.5758,0.5143
2,0.2663,0.6628,0.7015,0.4667,0.7692,0.2529,0.8283,0.725,0.6923,0.75,0.343,0.6121,0.5735,0.3939,0.7429
3,0.2878,0.7008,0.7164,0.2857,0.913,0.2543,0.8272,0.7333,0.6923,0.7647,0.3272,0.657,0.6176,0.3667,0.8158
4,0.3219,0.5,0.6119,0.2174,0.8182,0.2513,0.8289,0.75,0.7692,0.7353,0.3374,0.5786,0.6029,0.6071,0.6
5,0.3266,0.5407,0.5821,0.5556,0.6,0.2513,0.8329,0.7583,0.8077,0.7206,0.3319,0.6398,0.5588,0.7812,0.3611
6,0.2945,0.6293,0.5672,0.5556,0.5714,0.2511,0.8309,0.75,0.75,0.75,0.3217,0.6904,0.6765,0.5333,0.7895
7,0.3088,0.7396,0.6567,0.6667,0.6486,0.2507,0.8292,0.7583,0.8077,0.7206,0.3361,0.5781,0.5441,0.7,0.4211
8,0.3185,0.627,0.5224,0.6207,0.4474,0.2515,0.8286,0.7583,0.8269,0.7059,0.3256,0.6886,0.5735,0.9333,0.2895
9,0.3074,0.6529,0.5821,0.6538,0.5366,0.2518,0.8298,0.75,0.8269,0.6912,0.3394,0.5694,0.5441,0.8125,0.3056
10,0.3091,0.6567,0.597,0.6538,0.561,0.2518,0.8295,0.75,0.8269,0.6912,0.3348,0.618,0.4853,0.7931,0.2564
11,0.3223,0.6239,0.597,0.7941,0.3939,0.2539,0.8306,0.7417,0.8654,0.6471,0.339,0.6314,0.4559,0.8519,0.1951
12,0.2957,0.754,0.5821,0.913,0.4091,0.2529,0.8314,0.7583,0.8654,0.6765,0.3296,0.6468,0.4706,0.7778,0.2683
13,0.3079,0.6448,0.5373,0.8,0.381,0.2525,0.8312,0.75,0.8462,0.6765,0.3211,0.6997,0.5588,0.875,0.2778
14,0.3026,0.7225,0.6418,0.75,0.5641,0.2527,0.8309,0.7583,0.8654,0.6765,0.3275,0.6884,0.5441,0.8929,0.3
15,0.2852,0.7692,0.5373,0.9048,0.3696,0.2523,0.8306,0.7583,0.8462,0.6912,0.334,0.6007,0.4559,0.7778,0.2439
16,0.2863,0.7667,0.5672,0.8636,0.4222,0.2518,0.8309,0.75,0.8269,0.6912,0.3475,0.5148,0.4853,0.7812,0.2222
17,0.3105,0.6066,0.5075,0.8333,0.3256,0.2518,0.8306,0.75,0.8269,0.6912,0.3487,0.527,0.4559,0.7586,0.2308
18,0.3023,0.6705,0.5672,0.7917,0.4419,0.2517,0.8309,0.75,0.8269,0.6912,0.3341,0.613,0.5294,0.7879,0.2857
19,0.3071,0.6651,0.5821,0.8077,0.439,0.2517,0.8312,0.75,0.8269,0.6912,0.3366,0.5857,0.5294,0.7857,0.35
