task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
acl,coronal,0.001,0.4,0.1895,0.927,0.8167,0.6296,0.9697
acl,sagittal,0.001,0.4,0.1783,0.9346,0.8333,0.6852,0.9545
acl,axial,0.001,0.4,0.1623,0.9439,0.875,0.8333,0.9091
meniscus,coronal,0.001,0.4,0.2549,0.8286,0.7583,0.75,0.7647
meniscus,sagittal,0.001,0.4,0.2746,0.7817,0.6667,0.6923,0.6471
acl,coronal,0.00006,0.1,0.1848,0.9262,0.85,0.8704,0.8333
acl,sagittal,0.00006,0.1,0.1791,0.9355,0.85,0.7778,0.9091
acl,axial,0.00006,0.1,0.148,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.00006,0.1,0.2554,0.8411,0.7583,0.75,0.7647
abnormal,sagittal,0.00006,0.1,0.0976,0.9562,0.7917,0.7474,0.96
meniscus,sagittal,0.00006,0.1,0.2791,0.7839,0.6167,0.9423,0.3676
abnormal,coronal,0.00006,0.1,0.1482,0.8834,0.7333,0.6947,0.88
meniscus,axial,0.00006,0.1,0.2462,0.836,0.7583,0.7692,0.75
abnormal,axial,0.00006,0.1,0.1176,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00002,0.2,0.1842,0.927,0.8417,0.9259,0.7727
acl,sagittal,0.00002,0.2,0.1766,0.931,0.8167,0.9074,0.7424
acl,axial,0.00002,0.2,0.1469,0.9559,0.8333,0.9815,0.7121
meniscus,coronal,0.00002,0.2,0.2533,0.8343,0.7833,0.7885,0.7794
abnormal,sagittal,0.00002,0.2,0.0957,0.9558,0.7833,0.7474,0.92
meniscus,sagittal,0.00002,0.2,0.2773,0.791,0.7,0.7692,0.6471
abnormal,coronal,0.00002,0.2,0.1511,0.8817,0.7333,0.6842,0.92
meniscus,axial,0.00002,0.2,0.2495,0.8368,0.7083,0.4615,0.8971
abnormal,axial,0.00002,0.2,0.1124,0.9448,0.7833,0.7263,1.0
acl,coronal,0.001,0.1,0.1867,0.9282,0.8583,0.8704,0.8485
acl,sagittal,0.001,0.1,0.1759,0.938,0.85,0.7778,0.9091
acl,axial,0.001,0.1,0.1475,0.9529,0.8583,0.7778,0.9242
meniscus,coronal,0.001,0.1,0.2559,0.8411,0.7583,0.75,0.7647
abnormal,sagittal,0.001,0.1,0.0986,0.9554,0.7917,0.7474,0.96
meniscus,sagittal,0.001,0.1,0.2894,0.778,0.6333,0.9615,0.3824
abnormal,coronal,0.001,0.1,0.1477,0.8838,0.7333,0.6947,0.88
meniscus,axial,0.001,0.1,0.247,0.8343,0.7583,0.7308,0.7794
abnormal,axial,0.001,0.1,0.1175,0.9432,0.8083,0.7684,0.96
acl,coronal,0.0004,0.1,0.1854,0.9259,0.85,0.8704,0.8333
acl,sagittal,0.0004,0.1,0.1771,0.9363,0.85,0.7778,0.9091
acl,axial,0.0004,0.1,0.1482,0.9529,0.8583,0.7778,0.9242
meniscus,coronal,0.0004,0.1,0.2552,0.8405,0.7667,0.7692,0.7647
abnormal,sagittal,0.0004,0.1,0.098,0.9558,0.7917,0.7474,0.96
