epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1899,0.7439,0.6119,0.5636,0.8333,0.102,0.9554,0.9083,0.9158,0.88
1,0.215,0.9099,0.8358,0.7826,0.9524,0.1007,0.9558,0.875,0.8737,0.88
2,0.1876,0.8302,0.6119,0.5094,1.0,0.1008,0.9524,0.8833,0.8842,0.88
3,0.1731,0.9397,0.791,0.7308,1.0,0.1004,0.9524,0.8917,0.8947,0.88
4,0.1675,0.9088,0.7761,0.7407,0.9231,0.0993,0.9528,0.8833,0.8842,0.88
5,0.165,0.8734,0.7761,0.7679,0.8182,0.1011,0.9524,0.9083,0.9158,0.88
6,0.1818,0.8795,0.791,0.8077,0.7333,0.0995,0.9512,0.9083,0.9158,0.88
7,0.1672,0.8924,0.791,0.7818,0.8333,0.0997,0.9499,0.8833,0.8842,0.88
8,0.1716,0.896,0.8209,0.8333,0.7692,0.1017,0.9499,0.9083,0.9158,0.88
9,0.1873,0.8513,0.7463,0.7115,0.8667,0.0993,0.9507,0.8833,0.8842,0.88
10,0.1535,0.8582,0.7463,0.7241,0.8889,0.1016,0.9512,0.9083,0.9158,0.88
11,0.1776,0.872,0.8507,0.9245,0.5714,0.1013,0.9503,0.9083,0.9158,0.88
12,0.18,0.8219,0.7463,0.7778,0.6154,0.1011,0.9507,0.9083,0.9158,0.88
13,0.1572,0.8579,0.806,0.8246,0.7,0.1006,0.9512,0.9083,0.9158,0.88
14,0.1488,0.8506,0.791,0.8621,0.3333,0.1011,0.9499,0.9083,0.9158,0.88
15,0.2055,0.7564,0.7164,0.8077,0.4,0.1006,0.9491,0.8917,0.8947,0.88
16,0.1985,0.9161,0.8806,0.9184,0.7778,0.0995,0.9491,0.8833,0.8842,0.88
17,0.1765,0.9412,0.806,0.7843,0.875,0.0993,0.9495,0.8833,0.8842,0.88
18,0.1677,0.8955,0.7463,0.7273,0.8333,0.0994,0.9495,0.8833,0.8842,0.88
19,0.1574,0.8929,0.8507,0.8393,0.9091,0.0994,0.9491,0.8833,0.8842,0.88
