epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2878,0.7434,0.6866,0.6818,0.6889,0.2499,0.8329,0.7583,0.8077,0.7206
1,0.2694,0.8209,0.7463,0.7143,0.7609,0.2497,0.8326,0.7583,0.8077,0.7206
2,0.2518,0.8617,0.7463,0.6667,0.7755,0.2519,0.8306,0.7333,0.7115,0.75
3,0.2362,0.8474,0.791,0.3333,0.9231,0.2588,0.8261,0.7167,0.6154,0.7941
4,0.2803,0.9046,0.791,0.4815,1.0,0.2512,0.8283,0.7417,0.7308,0.75
5,0.2717,0.843,0.7612,0.7917,0.7442,0.2504,0.83,0.75,0.75,0.75
6,0.2938,0.7036,0.6716,0.5217,0.75,0.2497,0.8314,0.7583,0.8077,0.7206
7,0.2563,0.8435,0.791,0.7778,0.7959,0.2538,0.8281,0.7333,0.6923,0.7647
8,0.3032,0.737,0.7164,0.5556,0.825,0.2513,0.8292,0.7417,0.7308,0.75
9,0.2652,0.78,0.7164,0.6111,0.7551,0.2528,0.8275,0.75,0.7308,0.7647
10,0.2805,0.7888,0.7612,0.6667,0.814,0.2526,0.8278,0.7417,0.7308,0.75
11,0.2735,0.796,0.791,0.7273,0.8222,0.2523,0.8281,0.7417,0.7308,0.75
12,0.2976,0.7886,0.7164,0.5862,0.8158,0.2507,0.8278,0.7583,0.7692,0.75
13,0.2588,0.8064,0.7612,0.65,0.8085,0.2515,0.8283,0.7417,0.7308,0.75
14,0.2764,0.7266,0.7015,0.65,0.7234,0.2517,0.8283,0.7417,0.7308,0.75
15,0.288,0.7889,0.7463,0.6154,0.8293,0.2515,0.8286,0.7417,0.7308,0.75
16,0.2851,0.8058,0.7313,0.6154,0.8049,0.2512,0.8283,0.7417,0.7308,0.75
17,0.2631,0.8271,0.7612,0.6667,0.8043,0.2511,0.8283,0.75,0.75,0.75
18,0.2686,0.8735,0.8209,0.913,0.7727,0.2512,0.8286,0.7417,0.7308,0.75
19,0.2731,0.8275,0.7313,0.7917,0.6977,0.2513,0.8289,0.7417,0.7308,0.75
