epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2973,0.6641,0.5778,0.9167,0.4545,0.2667,0.8272,0.7333,0.8846,0.6176
1,0.2563,0.8606,0.6889,0.7692,0.6562,0.2627,0.8258,0.7417,0.8077,0.6912
2,0.2636,0.7727,0.6,0.7273,0.5588,0.261,0.8261,0.7583,0.7692,0.75
3,0.243,0.8171,0.7556,0.5,0.8286,0.2674,0.8232,0.725,0.5962,0.8235
4,0.271,0.819,0.7333,0.5,0.8621,0.2653,0.8249,0.7167,0.6346,0.7794
5,0.2642,0.8756,0.7778,0.6667,0.8333,0.2611,0.8235,0.7417,0.7308,0.75
6,0.2899,0.7626,0.6889,0.4706,0.8214,0.2604,0.8241,0.7583,0.7692,0.75
7,0.2342,0.8314,0.8444,0.7,0.8857,0.2642,0.823,0.7333,0.6731,0.7794
8,0.2943,0.7976,0.7333,0.6316,0.8077,0.2608,0.8227,0.7417,0.7308,0.75
9,0.248,0.8369,0.7778,0.8182,0.7647,0.2654,0.8207,0.7333,0.6731,0.7794
10,0.276,0.7978,0.6222,0.2667,0.8,0.2632,0.8207,0.7333,0.6731,0.7794
11,0.2691,0.7644,0.7111,0.6,0.7667,0.2627,0.821,0.7417,0.6923,0.7794
12,0.2741,0.8498,0.7556,0.7727,0.7391,0.26,0.8244,0.7667,0.8077,0.7353
13,0.2631,0.8157,0.7556,0.7857,0.7419,0.2599,0.823,0.7583,0.7885,0.7353
14,0.2642,0.7419,0.6667,0.6429,0.6774,0.2614,0.8213,0.725,0.6923,0.75
15,0.2611,0.8676,0.8,0.6471,0.8929,0.262,0.8224,0.725,0.6923,0.75
16,0.2747,0.7866,0.7111,0.5,0.8276,0.2605,0.8232,0.7333,0.7115,0.75
17,0.2668,0.7956,0.7556,0.8,0.7333,0.2612,0.8218,0.725,0.6923,0.75
18,0.236,0.8712,0.8222,0.6667,0.8788,0.2674,0.8196,0.7333,0.6538,0.7941
19,0.281,0.7178,0.6889,0.5333,0.7667,0.2674,0.8199,0.7333,0.6538,0.7941
