epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1975,0.7531,0.5778,0.5,0.8889,0.1014,0.9558,0.9083,0.9158,0.88
1,0.2094,0.9471,0.8222,0.7812,0.9231,0.1004,0.9558,0.8917,0.8947,0.88
2,0.1947,0.7914,0.6889,0.6286,0.9,0.1005,0.9558,0.8833,0.8842,0.88
3,0.1784,0.9171,0.7111,0.6286,1.0,0.1001,0.9549,0.8833,0.8842,0.88
4,0.1835,0.9225,0.8,0.7647,0.9091,0.0995,0.9541,0.8833,0.8842,0.88
5,0.1636,0.8632,0.6667,0.6154,1.0,0.1002,0.9541,0.9083,0.9158,0.88
6,0.1694,0.875,0.8222,0.7838,1.0,0.1003,0.9528,0.9083,0.9158,0.88
7,0.1843,0.8519,0.7556,0.75,0.7778,0.1006,0.9516,0.9083,0.9158,0.88
8,0.1622,0.9189,0.8667,0.8919,0.75,0.1022,0.952,0.9083,0.9158,0.88
9,0.1892,0.8686,0.8,0.8286,0.7,0.099,0.9516,0.8833,0.8842,0.88
10,0.1716,0.8271,0.7556,0.7632,0.7143,0.0998,0.9524,0.9083,0.9158,0.88
11,0.1843,0.8148,0.7556,0.8333,0.4444,0.1002,0.9516,0.9083,0.9158,0.88
12,0.1541,0.8504,0.7778,0.7949,0.6667,0.1021,0.9528,0.9083,0.9158,0.88
13,0.1719,0.8514,0.8667,0.8919,0.75,0.1005,0.952,0.9083,0.9158,0.88
14,0.1704,0.8514,0.7556,0.8378,0.375,0.1005,0.952,0.9083,0.9158,0.88
15,0.209,0.6574,0.6444,0.7222,0.3333,0.1001,0.9499,0.8833,0.8842,0.88
16,0.1918,0.9596,0.8889,0.9091,0.8333,0.0999,0.9495,0.8833,0.8842,0.88
17,0.1703,0.9486,0.8222,0.8,0.9,0.0995,0.9499,0.8833,0.8842,0.88
18,0.1714,0.8885,0.7111,0.6757,0.875,0.0996,0.9495,0.8833,0.8842,0.88
19,0.1591,0.9257,0.8444,0.8378,0.875,0.0995,0.9499,0.8833,0.8842,0.88
