epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2679,0.8384,0.7333,0.8333,0.697,0.2497,0.8317,0.7583,0.8077,0.7206
1,0.2694,0.7764,0.6889,0.6154,0.7188,0.2497,0.8314,0.75,0.7692,0.7353
2,0.2541,0.8209,0.7333,0.7273,0.7353,0.2523,0.8303,0.725,0.6923,0.75
3,0.2403,0.8086,0.8,0.4,0.9143,0.2607,0.8278,0.725,0.5962,0.8235
4,0.2691,0.9009,0.7778,0.375,1.0,0.2561,0.8278,0.7167,0.6346,0.7794
5,0.2681,0.8089,0.7556,0.5333,0.8667,0.2516,0.8289,0.7333,0.7115,0.75
6,0.3078,0.7248,0.7333,0.4706,0.8929,0.2505,0.8317,0.75,0.75,0.75
7,0.2469,0.8429,0.7556,0.7,0.7714,0.2513,0.8303,0.7333,0.7115,0.75
8,0.3046,0.7551,0.6667,0.5263,0.7692,0.2504,0.8306,0.75,0.75,0.75
9,0.2504,0.8262,0.7111,0.6364,0.7353,0.251,0.8298,0.7417,0.7308,0.75
10,0.2797,0.8,0.7778,0.6667,0.8333,0.2511,0.8292,0.7417,0.7308,0.75
11,0.2687,0.8289,0.7778,0.6667,0.8333,0.251,0.8289,0.7417,0.7308,0.75
12,0.3092,0.7905,0.7111,0.6818,0.7391,0.2503,0.8292,0.7583,0.7692,0.75
13,0.2595,0.8203,0.7333,0.6429,0.7742,0.2502,0.8292,0.75,0.7692,0.7353
14,0.2792,0.7097,0.6889,0.6429,0.7097,0.2503,0.8292,0.7583,0.7692,0.75
15,0.2878,0.7689,0.7111,0.5294,0.8214,0.2504,0.8289,0.7583,0.7692,0.75
16,0.2855,0.7543,0.7333,0.625,0.7931,0.2503,0.8292,0.75,0.7692,0.7353
17,0.279,0.7889,0.7111,0.6,0.7667,0.2502,0.8292,0.75,0.7692,0.7353
18,0.2503,0.9091,0.8222,1.0,0.7576,0.2503,0.8292,0.7583,0.7692,0.75
19,0.2648,0.8489,0.7333,0.8667,0.6667,0.2504,0.8295,0.7583,0.7692,0.75
