epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2088,0.8364,0.7778,0.9722,0.0,0.1128,0.9474,0.9083,0.9368,0.8
1,0.2549,0.7428,0.7333,0.8438,0.4615,0.1017,0.9486,0.9083,0.9263,0.84
2,0.2279,0.56,0.6889,0.8,0.3,0.0982,0.9491,0.9167,0.9263,0.88
3,0.2034,0.7686,0.6889,0.6571,0.8,0.0971,0.9499,0.9083,0.9158,0.88
4,0.2025,0.8743,0.7778,0.7647,0.8182,0.0967,0.9512,0.9083,0.9158,0.88
5,0.1573,0.8889,0.7111,0.6923,0.8333,0.0988,0.9507,0.9083,0.9263,0.84
6,0.1709,0.8378,0.8444,0.8378,0.875,0.0988,0.9512,0.9083,0.9263,0.84
7,0.1901,0.7778,0.7556,0.8056,0.5556,0.0978,0.9516,0.9083,0.9263,0.84
8,0.1769,0.8074,0.7556,0.8108,0.5,0.0989,0.9512,0.9083,0.9263,0.84
9,0.1821,0.8714,0.7333,0.7143,0.8,0.096,0.9516,0.9083,0.9158,0.88
10,0.1823,0.7218,0.6444,0.6579,0.5714,0.0978,0.9516,0.9083,0.9263,0.84
11,0.1912,0.7623,0.7556,0.7778,0.6667,0.0979,0.9516,0.9083,0.9263,0.84
12,0.1594,0.7906,0.8222,0.8462,0.6667,0.101,0.9516,0.9083,0.9263,0.84
13,0.1944,0.6858,0.9111,0.973,0.625,0.0976,0.952,0.9083,0.9263,0.84
14,0.1792,0.7905,0.8444,0.8649,0.75,0.0972,0.9545,0.9083,0.9263,0.84
15,0.2069,0.6914,0.7111,0.8056,0.3333,0.0949,0.9537,0.9,0.9158,0.84
16,0.1938,0.8763,0.7778,0.7273,0.9167,0.0938,0.9541,0.9,0.9053,0.88
17,0.2094,0.7086,0.5778,0.5143,0.8,0.0931,0.9537,0.9,0.8947,0.92
18,0.1771,0.8682,0.6222,0.5405,1.0,0.0928,0.9554,0.9083,0.9158,0.88
19,0.1857,0.8041,0.8,0.8378,0.625,0.0926,0.9562,0.9083,0.9158,0.88
20,0.161,0.8784,0.7556,0.7568,0.75,0.0941,0.9571,0.9083,0.9263,0.84
21,0.2024,0.9062,0.8444,0.8438,0.8462,0.0914,0.9562,0.9167,0.9158,0.92
22,0.1876,0.9167,0.7778,0.7273,0.9167,0.0919,0.9566,0.9,0.8947,0.92
23,0.1918,0.6128,0.5778,0.5789,0.5714,0.0916,0.9566,0.9,0.8947,0.92
24,0.1564,0.8333,0.7778,0.7692,0.8333,0.0929,0.9562,0.9083,0.9263,0.84
25,0.178,0.8243,0.8,0.8108,0.75,0.0941,0.9571,0.9083,0.9263,0.84
26,0.2078,0.6543,0.6667,0.6944,0.5556,0.0916,0.9562,0.9083,0.9053,0.92
27,0.1287,0.93,0.9111,0.925,0.8,0.0953,0.9571,0.9083,0.9263,0.84
28,0.1445,0.8291,0.9111,0.9487,0.6667,0.0974,0.9571,0.9083,0.9263,0.84
29,0.2113,0.8662,0.7556,0.8485,0.5,0.0942,0.9562,0.9083,0.9263,0.84
30,0.1614,0.765,0.8444,0.8974,0.5,0.0933,0.9562,0.9083,0.9263,0.84
31,0.1916,0.9444,0.8889,0.9697,0.6667,0.0922,0.9558,0.9083,0.9158,0.88
32,0.1986,0.7514,0.7556,0.8,0.6,0.0919,0.9558,0.9,0.9053,0.88
33,0.1579,0.8333,0.7778,0.7692,0.8333,0.092,0.9558,0.9083,0.9158,0.88
34,0.1669,0.735,0.8222,0.8718,0.5,0.0922,0.9562,0.9083,0.9158,0.88
35,0.1588,0.8647,0.8222,0.8158,0.8571,0.0925,0.9562,0.9,0.9158,0.84
36,0.1343,0.9887,0.9333,0.9211,1.0,0.0925,0.9562,0.9,0.9158,0.84
37,0.1582,0.9257,0.9111,0.9459,0.75,0.0925,0.9562,0.9,0.9158,0.84
38,0.1704,0.8446,0.8222,0.8108,0.875,0.0926,0.9562,0.9,0.9158,0.84
39,0.1894,0.899,0.8444,0.8485,0.8333,0.0923,0.9562,0.9083,0.9158,0.88
40,0.2172,0.8641,0.7778,0.8387,0.6429,0.0922,0.9562,0.9083,0.9158,0.88
41,0.1753,0.8904,0.8,0.7941,0.8182,0.0921,0.9562,0.9083,0.9158,0.88
42,0.1785,0.9144,0.8222,0.7941,0.9091,0.092,0.9562,0.9083,0.9158,0.88
43,0.1815,0.7703,0.7333,0.7568,0.625,0.092,0.9562,0.9083,0.9158,0.88
44,0.2009,0.7486,0.6667,0.6857,0.6,0.092,0.9562,0.9083,0.9158,0.88
45,0.1493,0.8,0.7333,0.725,0.8,0.0921,0.9562,0.9083,0.9158,0.88
46,0.1703,0.7669,0.7111,0.7105,0.7143,0.0921,0.9562,0.9083,0.9158,0.88
47,0.135,0.975,0.8,0.775,1.0,0.0921,0.9562,0.9083,0.9158,0.88
48,0.1702,0.8611,0.8889,0.9167,0.7778,0.0921,0.9562,0.9083,0.9158,0.88
49,0.1664,0.9167,0.9111,0.9444,0.7778,0.0921,0.9562,0.9083,0.9158,0.88
50,0.1919,0.8824,0.7778,0.7941,0.7273,0.0921,0.9562,0.9083,0.9158,0.88
51,0.1782,0.7601,0.6667,0.6757,0.625,0.0921,0.9562,0.9083,0.9158,0.88
52,0.1893,0.8148,0.8444,0.8611,0.7778,0.0921,0.9562,0.9083,0.9158,0.88
53,0.1722,0.8243,0.7778,0.8378,0.5,0.0921,0.9562,0.9083,0.9158,0.88
54,0.186,0.6053,0.6889,0.7368,0.4286,0.0921,0.9562,0.9083,0.9158,0.88
55,0.2055,0.7457,0.7778,0.8286,0.6,0.0921,0.9562,0.9083,0.9158,0.88
56,0.1492,0.8932,0.7778,0.7692,0.8333,0.0921,0.9562,0.9083,0.9158,0.88
57,0.2005,0.8171,0.8,0.8571,0.6,0.0921,0.9562,0.9083,0.9158,0.88
