epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2188,0.4979,0.5425,0.5696,0.4286,0.2289,0.5154,0.5333,0.5263,0.56
1,0.2083,0.6242,0.6239,0.6528,0.5023,0.223,0.6215,0.4167,0.3053,0.84
2,0.2003,0.7049,0.6186,0.6013,0.6912,0.2141,0.6859,0.6417,0.6632,0.56
3,0.1956,0.7301,0.6885,0.6966,0.6544,0.2084,0.7314,0.6417,0.6737,0.52
4,0.1899,0.753,0.7292,0.7623,0.5899,0.2073,0.7524,0.6167,0.5368,0.92
5,0.1832,0.783,0.7372,0.7492,0.6866,0.199,0.7714,0.6667,0.6737,0.64
6,0.1784,0.7942,0.754,0.7667,0.7005,0.194,0.7802,0.675,0.7053,0.56
7,0.174,0.8096,0.7664,0.782,0.7005,0.1895,0.7928,0.7083,0.7474,0.56
8,0.1725,0.8087,0.7628,0.7809,0.6866,0.1831,0.8143,0.7167,0.7368,0.64
9,0.1639,0.8371,0.7814,0.7963,0.7189,0.1771,0.8265,0.7583,0.7895,0.64
10,0.1636,0.833,0.7717,0.7875,0.7051,0.1715,0.8371,0.75,0.7789,0.64
11,0.1543,0.8593,0.7885,0.8028,0.7281,0.1645,0.8568,0.7583,0.7579,0.76
12,0.1508,0.8661,0.7894,0.7941,0.7696,0.1628,0.8749,0.825,0.8842,0.6
13,0.1525,0.8565,0.7912,0.7985,0.7604,0.1507,0.8939,0.8167,0.8316,0.76
14,0.148,0.8665,0.7903,0.7941,0.7742,0.1468,0.9057,0.85,0.8737,0.76
15,0.1448,0.8751,0.8009,0.7996,0.8065,0.1414,0.9133,0.825,0.8316,0.8
16,0.1401,0.8798,0.7841,0.7744,0.8249,0.1592,0.9149,0.8583,0.9579,0.48
17,0.1379,0.884,0.7991,0.8028,0.7834,0.1347,0.9229,0.8833,0.9053,0.8
18,0.1356,0.8873,0.8062,0.7985,0.8387,0.1303,0.9238,0.8667,0.8737,0.84
19,0.1341,0.8933,0.7973,0.7853,0.8479,0.1361,0.9267,0.8583,0.9263,0.6
20,0.1335,0.8874,0.8009,0.7963,0.8203,0.1273,0.928,0.9,0.9158,0.84
21,0.1322,0.8903,0.7947,0.7842,0.8387,0.1368,0.9293,0.8583,0.9368,0.56
22,0.1265,0.9018,0.8115,0.8116,0.8111,0.1225,0.9305,0.8417,0.8421,0.84
23,0.129,0.8946,0.8053,0.793,0.8571,0.1222,0.9322,0.8917,0.9158,0.8
24,0.1248,0.9022,0.8088,0.8007,0.8433,0.1334,0.9318,0.8667,0.9368,0.6
25,0.1273,0.8965,0.8044,0.7941,0.8479,0.1245,0.9314,0.8833,0.9158,0.76
26,0.1257,0.8989,0.8071,0.7952,0.8571,0.1255,0.9305,0.8917,0.9263,0.76
27,0.1232,0.9023,0.8097,0.7985,0.8571,0.1187,0.9335,0.8667,0.8947,0.76
28,0.1228,0.9035,0.8088,0.8039,0.8295,0.1211,0.9343,0.8917,0.9263,0.76
29,0.1198,0.9113,0.8168,0.8018,0.8802,0.124,0.9331,0.8917,0.9263,0.76
30,0.123,0.9017,0.8027,0.7908,0.8525,0.1219,0.9331,0.8917,0.9263,0.76
31,0.1193,0.9104,0.8168,0.8061,0.8618,0.1171,0.9339,0.8917,0.9263,0.76
32,0.1191,0.9086,0.8106,0.7996,0.8571,0.1299,0.9326,0.9,0.9474,0.72
33,0.1177,0.9108,0.8212,0.8116,0.8618,0.1147,0.9339,0.875,0.8947,0.8
34,0.1224,0.9016,0.8018,0.7864,0.8664,0.1311,0.9305,0.9,0.9474,0.72
35,0.1179,0.9105,0.8204,0.8105,0.8618,0.124,0.9305,0.8917,0.9263,0.76
36,0.1164,0.9138,0.8221,0.8127,0.8618,0.1295,0.9314,0.9,0.9474,0.72
37,0.1189,0.907,0.8097,0.7974,0.8618,0.1344,0.9309,0.9,0.9474,0.72
38,0.1131,0.9179,0.8221,0.8072,0.8848,0.1302,0.9318,0.9083,0.9474,0.76
39,0.1124,0.9186,0.8177,0.8039,0.8756,0.1545,0.9331,0.8583,0.9579,0.48
40,0.1156,0.9136,0.8257,0.8237,0.8341,0.1218,0.9335,0.8917,0.9263,0.76
41,0.1125,0.9185,0.8292,0.8138,0.894,0.118,0.9326,0.8917,0.9263,0.76
42,0.1106,0.9222,0.8212,0.805,0.8894,0.1277,0.9326,0.9083,0.9474,0.76
43,0.11,0.9233,0.8336,0.8193,0.894,0.1351,0.9331,0.8917,0.9474,0.68
44,0.1147,0.9156,0.8319,0.8215,0.8756,0.1198,0.9331,0.8917,0.9263,0.76
45,0.1105,0.9237,0.8292,0.8105,0.9078,0.1376,0.9326,0.8833,0.9474,0.64
46,0.1084,0.9263,0.8434,0.8324,0.8894,0.1272,0.9322,0.9083,0.9474,0.76
47,0.1105,0.9225,0.8363,0.828,0.871,0.1246,0.9335,0.9083,0.9474,0.76
48,0.1128,0.9182,0.8177,0.8039,0.8756,0.1249,0.9335,0.9083,0.9474,0.76
49,0.111,0.9221,0.8212,0.8094,0.871,0.1247,0.9331,0.9083,0.9474,0.76
