epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.207,0.5607,0.6142,0.3894,0.6649,0.3356,0.6263,0.625,0.6481,0.6061
1,0.2039,0.6044,0.5584,0.6154,0.5456,0.3322,0.6479,0.6167,0.6111,0.6212
2,0.2018,0.6381,0.585,0.601,0.5813,0.3297,0.6661,0.6333,0.4444,0.7879
3,0.2004,0.6537,0.646,0.6058,0.6551,0.3252,0.6852,0.6333,0.6852,0.5909
4,0.198,0.6849,0.6372,0.649,0.6345,0.322,0.6998,0.6417,0.6481,0.6364
5,0.1942,0.7164,0.6159,0.726,0.5911,0.3245,0.7054,0.6667,0.3704,0.9091
6,0.1935,0.7172,0.6876,0.6154,0.7039,0.3153,0.7214,0.6833,0.6481,0.7121
7,0.192,0.732,0.7044,0.6587,0.7148,0.3143,0.7264,0.6333,0.7407,0.5455
8,0.1899,0.7308,0.6549,0.6971,0.6453,0.3118,0.7228,0.65,0.5556,0.7273
9,0.1886,0.7437,0.7,0.6731,0.7061,0.3096,0.7309,0.6917,0.6667,0.7121
10,0.186,0.7544,0.7027,0.7115,0.7007,0.3074,0.734,0.6667,0.5926,0.7273
11,0.1834,0.7663,0.6956,0.7163,0.6909,0.3066,0.7351,0.65,0.5556,0.7273
12,0.1829,0.7606,0.7124,0.6875,0.718,0.3045,0.7396,0.6917,0.7037,0.6818
13,0.1826,0.7546,0.7053,0.6683,0.7137,0.3021,0.7421,0.6833,0.6852,0.6818
14,0.1786,0.7835,0.7204,0.7404,0.7158,0.2995,0.7472,0.6667,0.5926,0.7273
15,0.1778,0.7765,0.7027,0.7212,0.6985,0.3022,0.7494,0.6833,0.537,0.803
16,0.1751,0.787,0.7195,0.7019,0.7234,0.2942,0.7595,0.7,0.6667,0.7273
17,0.1743,0.7878,0.7115,0.6923,0.7158,0.2918,0.7663,0.7,0.6667,0.7273
18,0.1718,0.802,0.7142,0.7019,0.7169,0.2917,0.7691,0.675,0.5741,0.7576
19,0.1701,0.8025,0.7248,0.7067,0.7289,0.2871,0.7753,0.7167,0.7037,0.7273
20,0.1677,0.8046,0.7159,0.7115,0.7169,0.2853,0.7772,0.7167,0.6852,0.7424
21,0.1663,0.8115,0.7381,0.7019,0.7462,0.289,0.7825,0.675,0.7778,0.5909
22,0.1668,0.806,0.723,0.7404,0.7191,0.2824,0.7842,0.7167,0.7222,0.7121
23,0.1643,0.82,0.7389,0.7596,0.7343,0.2799,0.7896,0.7083,0.6296,0.7727
24,0.1633,0.8171,0.7372,0.75,0.7343,0.2777,0.7918,0.725,0.6667,0.7727
25,0.1647,0.8095,0.7221,0.7452,0.7169,0.2771,0.7932,0.7,0.6111,0.7727
26,0.1589,0.8312,0.7558,0.7596,0.7549,0.2734,0.8008,0.725,0.6667,0.7727
27,0.1586,0.832,0.7584,0.7356,0.7636,0.2743,0.8047,0.725,0.7407,0.7121
28,0.1595,0.8259,0.7566,0.7452,0.7592,0.2715,0.8114,0.725,0.7407,0.7121
29,0.1568,0.8366,0.7496,0.75,0.7495,0.2678,0.8092,0.7417,0.6852,0.7879
30,0.1548,0.8424,0.7664,0.8029,0.7581,0.2669,0.81,0.75,0.7037,0.7879
31,0.153,0.8446,0.769,0.75,0.7733,0.265,0.814,0.7417,0.7037,0.7727
32,0.1551,0.8359,0.7708,0.7452,0.7766,0.2675,0.8173,0.725,0.8148,0.6515
33,0.1513,0.8503,0.7841,0.7981,0.7809,0.2625,0.8185,0.7417,0.7407,0.7424
34,0.1507,0.8492,0.7681,0.7644,0.769,0.2609,0.8218,0.7417,0.6667,0.803
35,0.148,0.8569,0.7743,0.7788,0.7733,0.261,0.8246,0.725,0.6111,0.8182
36,0.1476,0.8596,0.7867,0.7356,0.7983,0.264,0.8263,0.7417,0.8519,0.6515
37,0.1472,0.8553,0.7796,0.7837,0.7787,0.2563,0.8283,0.7417,0.6852,0.7879
38,0.1474,0.8549,0.777,0.7692,0.7787,0.268,0.8333,0.7083,0.8889,0.5606
39,0.1455,0.8627,0.785,0.7548,0.7918,0.2567,0.8328,0.7583,0.7963,0.7273
40,0.1431,0.8687,0.7788,0.7981,0.7744,0.2537,0.8356,0.7417,0.6296,0.8333
41,0.1461,0.856,0.7814,0.7644,0.7852,0.2537,0.8345,0.7417,0.6481,0.8182
42,0.141,0.8717,0.7885,0.7837,0.7896,0.2511,0.8406,0.7667,0.7778,0.7576
43,0.1435,0.8639,0.7832,0.75,0.7907,0.2492,0.8401,0.7583,0.7407,0.7727
44,0.1391,0.877,0.7938,0.7788,0.7972,0.2538,0.8398,0.7333,0.5926,0.8485
45,0.139,0.8759,0.8053,0.7788,0.8113,0.2585,0.844,0.7333,0.8889,0.6061
46,0.1378,0.8817,0.7929,0.7837,0.795,0.2459,0.8446,0.7667,0.7593,0.7727
47,0.1356,0.8854,0.7991,0.7981,0.7993,0.246,0.846,0.7583,0.7593,0.7576
48,0.138,0.8776,0.7938,0.7788,0.7972,0.2439,0.846,0.7583,0.7222,0.7879
49,0.1355,0.8813,0.7982,0.7837,0.8015,0.2479,0.8474,0.7833,0.8519,0.7273
