epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.2658,0.6667,0.8222,1.0,0.1111,0.1383,0.9053,0.8667,0.9053,0.72
1,0.299,0.7188,0.7111,0.9375,0.1538,0.1338,0.9027,0.7583,0.7263,0.88
2,0.2117,0.6829,0.6444,0.6857,0.5,0.1503,0.9027,0.6917,0.6316,0.92
3,0.1815,0.8514,0.6222,0.5429,0.9,0.1574,0.9032,0.6583,0.5895,0.92
4,0.1973,0.7968,0.7111,0.7353,0.6364,0.1565,0.9036,0.6583,0.5895,0.92
5,0.1956,0.4915,0.6222,0.6667,0.3333,0.1506,0.9032,0.6833,0.6211,0.92
6,0.1881,0.7095,0.6889,0.7297,0.5,0.1572,0.9032,0.6667,0.5895,0.96
7,0.202,0.6543,0.6222,0.6389,0.5556,0.1578,0.9015,0.6667,0.5895,0.96
8,0.1666,0.8446,0.6444,0.6216,0.75,0.1539,0.9015,0.6667,0.6,0.92
9,0.1936,0.74,0.6889,0.7143,0.6,0.161,0.9006,0.6667,0.5895,0.96
10,0.1876,0.6429,0.6667,0.6579,0.7143,0.1546,0.9015,0.675,0.6,0.96
11,0.1969,0.6852,0.7111,0.75,0.5556,0.1545,0.9015,0.675,0.6,0.96
12,0.1643,0.7393,0.6667,0.6667,0.6667,0.1505,0.9011,0.6833,0.6211,0.92
13,0.1985,0.723,0.7333,0.7568,0.625,0.1529,0.9019,0.675,0.6105,0.92
14,0.1828,0.7939,0.7778,0.8378,0.5,0.1531,0.9019,0.675,0.6105,0.92
15,0.2213,0.5278,0.5778,0.6667,0.2222,0.154,0.9019,0.675,0.6,0.96
16,0.2087,0.8157,0.6,0.5455,0.75,0.155,0.9006,0.675,0.6,0.96
17,0.1702,0.8686,0.7778,0.7714,0.8,0.1576,0.9006,0.6667,0.5895,0.96
18,0.1846,0.7331,0.5778,0.5405,0.75,0.1563,0.9006,0.675,0.6,0.96
19,0.1779,0.7939,0.7556,0.8108,0.5,0.1565,0.9006,0.6667,0.5895,0.96
