epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.4377,0.7623,0.8,1.0,0.0,0.1771,0.8105,0.75,0.7474,0.76
1,0.5021,0.6707,0.7111,1.0,0.0,0.2302,0.8177,0.45,0.3263,0.92
2,0.2688,0.7714,0.7556,0.9714,0.0,0.316,0.8164,0.325,0.1474,1.0
3,0.2149,0.7771,0.8222,0.9714,0.3,0.399,0.8189,0.2583,0.0632,1.0
4,0.2188,0.7834,0.7333,0.8529,0.3636,0.4576,0.816,0.25,0.0526,1.0
5,0.1442,0.8846,0.8444,0.8462,0.8333,0.4408,0.8181,0.25,0.0526,1.0
6,0.1724,0.8074,0.7556,0.8108,0.5,0.4514,0.8168,0.25,0.0526,1.0
7,0.2002,0.6944,0.7556,0.8333,0.4444,0.4575,0.8164,0.25,0.0526,1.0
8,0.181,0.7534,0.7778,0.8108,0.625,0.4578,0.8168,0.25,0.0526,1.0
9,0.1692,0.9057,0.8444,0.8286,0.9,0.4738,0.8156,0.2417,0.0421,1.0
10,0.1778,0.6805,0.6222,0.6579,0.4286,0.4682,0.816,0.2417,0.0421,1.0
11,0.1605,0.9012,0.8222,0.7778,1.0,0.4662,0.8168,0.2417,0.0421,1.0
12,0.1513,0.8162,0.7778,0.7692,0.8333,0.4576,0.8185,0.25,0.0526,1.0
13,0.2002,0.6622,0.6889,0.7027,0.625,0.461,0.8177,0.25,0.0526,1.0
14,0.1559,0.8514,0.7556,0.7838,0.625,0.4607,0.8177,0.25,0.0526,1.0
15,0.1767,0.8549,0.7778,0.75,0.8889,0.4622,0.8177,0.25,0.0526,1.0
16,0.1693,0.9697,0.8222,0.7576,1.0,0.4645,0.8173,0.2417,0.0421,1.0
17,0.1904,0.7886,0.7111,0.7429,0.6,0.4718,0.8164,0.2417,0.0421,1.0
18,0.2109,0.5203,0.5556,0.5676,0.5,0.4712,0.8168,0.2417,0.0421,1.0
19,0.1905,0.6757,0.6444,0.6757,0.5,0.4714,0.8168,0.2417,0.0421,1.0
