epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.1602,0.8083,0.8222,0.7143,0.8421,0.2171,0.9007,0.7833,0.8148,0.7576
1,0.2264,0.5304,0.7333,0.375,0.8108,0.2246,0.9004,0.8167,0.9074,0.7424
2,0.1721,0.8007,0.7111,0.75,0.7027,0.2306,0.9001,0.8167,0.9074,0.7424
3,0.1628,0.8346,0.8222,0.5714,0.8684,0.2289,0.9007,0.8167,0.9074,0.7424
4,0.1573,0.8421,0.7556,0.5714,0.7895,0.2347,0.8993,0.8,0.9259,0.697
5,0.1966,0.8209,0.6667,0.8182,0.6176,0.2461,0.9007,0.7833,0.9815,0.6212
6,0.1849,0.7716,0.6444,0.6667,0.6389,0.2432,0.9007,0.7917,0.9815,0.6364
7,0.1754,0.7256,0.6667,0.7143,0.6579,0.2393,0.9004,0.7917,0.963,0.6515
8,0.1629,0.8851,0.6889,0.75,0.6757,0.2381,0.9007,0.8,0.963,0.6667
9,0.1531,0.875,0.7111,0.875,0.6757,0.2378,0.9004,0.8083,0.963,0.6818
10,0.1668,0.555,0.5556,0.4,0.575,0.2288,0.9004,0.8167,0.9074,0.7424
11,0.1938,0.652,0.7333,0.5,0.7838,0.2308,0.9007,0.8083,0.9074,0.7273
12,0.2219,0.774,0.7556,0.6154,0.8125,0.2397,0.9007,0.7917,0.963,0.6515
13,0.1366,0.8598,0.7333,1.0,0.7073,0.239,0.9007,0.7917,0.963,0.6515
14,0.1555,0.8233,0.7333,1.0,0.6842,0.237,0.9007,0.8083,0.963,0.6818
15,0.1649,0.5061,0.6,0.5,0.6098,0.2344,0.9007,0.7833,0.9074,0.6818
16,0.1622,0.9136,0.7111,0.8889,0.6667,0.2342,0.9007,0.7833,0.9074,0.6818
17,0.1882,0.7128,0.6444,0.75,0.6216,0.2335,0.9007,0.7917,0.9074,0.697
18,0.1859,0.784,0.6667,0.5556,0.6944,0.2346,0.901,0.7833,0.9074,0.6818
19,0.1597,0.902,0.7111,1.0,0.6486,0.2345,0.901,0.7833,0.9074,0.6818
