epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
0,0.309,0.5747,0.4925,0.5909,0.4444,0.2787,0.7689,0.7083,0.6731,0.7353
1,0.2816,0.7267,0.6866,0.6667,0.6957,0.2787,0.7712,0.7,0.6346,0.75
2,0.2694,0.7075,0.6567,0.5556,0.6939,0.2923,0.7709,0.6833,0.5385,0.7941
3,0.2548,0.6897,0.7463,0.2667,0.8846,0.3116,0.7684,0.675,0.3846,0.8971
4,0.3116,0.7139,0.6567,0.4444,0.8,0.2788,0.7715,0.6917,0.6154,0.75
5,0.2906,0.7112,0.6418,0.6667,0.6279,0.2789,0.7709,0.7,0.6346,0.75
6,0.3017,0.6364,0.5821,0.6087,0.5682,0.2764,0.7721,0.6917,0.6731,0.7059
7,0.2763,0.6667,0.6716,0.3889,0.7755,0.2845,0.774,0.675,0.5577,0.7647
8,0.3142,0.6519,0.6567,0.6296,0.675,0.2759,0.774,0.7083,0.75,0.6765
9,0.2725,0.6984,0.6418,0.6667,0.6327,0.2875,0.7749,0.6833,0.5577,0.7794
10,0.283,0.7248,0.7164,0.4583,0.8605,0.2798,0.7738,0.6833,0.5769,0.7647
11,0.2982,0.6384,0.6119,0.5909,0.6222,0.2785,0.7755,0.6917,0.5962,0.7647
12,0.3229,0.6089,0.5672,0.6207,0.5263,0.2787,0.7769,0.7083,0.8077,0.6324
13,0.2902,0.6787,0.6119,0.75,0.5532,0.2833,0.7777,0.675,0.5577,0.7647
14,0.2965,0.6,0.597,0.4,0.6809,0.288,0.7783,0.675,0.5385,0.7794
15,0.3158,0.6623,0.6269,0.3462,0.8049,0.2822,0.7788,0.6833,0.5769,0.7647
16,0.2967,0.7523,0.6418,0.4231,0.7805,0.2769,0.778,0.7,0.6346,0.75
17,0.2779,0.7402,0.7015,0.7143,0.6957,0.2772,0.7783,0.6833,0.5962,0.75
18,0.2755,0.8132,0.791,0.6522,0.8636,0.277,0.7786,0.6917,0.6154,0.75
19,0.2916,0.6986,0.6119,0.625,0.6047,0.2785,0.7794,0.6917,0.5962,0.7647
